website,dealerName,address3,lng,address2,cityCode,address1,phone2,phone1,cityName,stateName,sortId,dealerType,stateCode,id,email,lat
https://mg-brothers-nh44-bangalore-hwy-kia.com,"MG Brothers, NH44, Bangalore Hwy",Anantapur 515002,77.58245," Kakkalapalli Vill,",S99,"1-374, NH44, Bangalore Hwy,",999999999,8333099186,Anantpur,Andhra Pradesh,1,Sales,AP,AP301,gmsalesatp@mgbrotherskia.in,14.64879
https://mg-brothers-nh44-bangalore-hwy-kia.com,"MG Brothers, NH44, Bangalore Hwy",Anantapur,77.58245,"1-374, NH44, Bangalore Hwy, Kakkalapalli Vill,",S99,,999999999,9494436198,Anantpur,Andhra Pradesh,3,Service,AP,AP301,serviceatp@mgbrotherskia.in,14.64879
https://simha-kia-undi-highway.com,"Simha Kia, Undi Highway",Bhimavaram – 534202,81.496515,"Near Agriculture Check post, ",S61,"SY No:140/2B, Pedamiram Undi Road, ",999999999,7331122044,Bhimavaram,Andhra Pradesh,1,Sales,AP,AP306,salesmanager.bvrm@simha-kia.in,16.562355
https://simha-kia-undi-highway.com,"Simha Kia, Undi Highway",Bhimavaram – 534202,81.496515,"Near Agriculture Check post, ",S61,"SY No:140/2B, Pedamiram Undi Road, ",999999999,9573441726,Bhimavaram,Andhra Pradesh,3,Service,AP,AP306,Servicemanager.bvrm@simha-kia.in; ,16.562355
https://simha-kia-indira-autonagar.com,"Simha Kia, Indira Autonagar",,80.4755,"Plot No. 2, Block No. 4, Phase IV, Autonagar, Guntur",S57,,999999999,7331122066,Guntur,Andhra Pradesh,1,Sales,AP,AP402,salesmanager.gnt@simha-kia.in,16.32077
https://simha-kia-indira-autonagar.com,"Simha Kia, Indira Autonagar",,80.48051,"Plot No.5, Block No. 38, Autonagar Guntur",S57,,999999999,8106681188,Guntur,Andhra Pradesh,3,Service,AP,AP402,Servicemanager.gnt@simha-kia.in;,16.31865
https://hoshi-auto-kadapa-kia.com,"Hoshi Auto, Kadapa",,78.86189,"Cuddapah, Ysr District",SEL,"No.38/173-10-5-1,Chinna Chowk,",9849492619,9100773485,Kadappa,Andhra Pradesh,1,Sales,AP,AP502,mgrsaltpt@hoshikia.com,14.46656
https://hoshi-auto-kadapa-kia.com,"Hoshi Auto, Kadapa",,78.86189,"Cuddapah, Ysr District",SEL,"No.38/173-10-5-1,Chinna Chowk,",9491938036,6301015262,Kadappa,Andhra Pradesh,3,Service,AP,AP502,i2skdp@hoshikia.com,14.46656
https://kantipudi-kia-kakinada.com,"Kantipudi Kia, Kakinada","Kakinada, A.P., 533001",82.247467,"Ramanayyapeta, Near Post Office,",S34,"#10/07/36,Shed No G2A,Industrial Area,",7799977468,7799977468,Kakinada,Andhra Pradesh,1,Sales,AP,AP504,info@kantipudikia.co.in,16.989065
https://kantipudi-kia-kakinada.com,"Kantipudi Kia, Kakinada","Kakinada, A.P., 533001",82.247467,"Ramanayyapeta, Near Post Office,",S34,"#10/07/36,Shed No G2A,Industrial Area,",7799977468,7799977468,Kakinada,Andhra Pradesh,3,Service,AP,AP504,i2s.kkd@kantipudikia.co.in,16.989065
https://mg-brothers-kurnool-kia.com,"MG Brothers, Kurnool",Kurnool Dist 518218,78.0006683,"Peddatekuru Vill, Kallur Mandal, ",S56,"Sy No. 187/1, NH44, Hyderabad Hwy, ",999999999,9492581344,Kurnool,Andhra Pradesh,1,Sales,AP,AP302,gmknl@mgbrotherskia.in,15.7216137
https://mg-brothers-kurnool-kia.com,"MG Brothers, Kurnool",Kurnool Dist 518218,78.0006683,"Peddatekuru Vill, Kallur Mandal, ",S56,"Sy No. 187/1, NH44, Hyderabad Hwy, ",999999999,8500296423,Kurnool,Andhra Pradesh,3,Service,AP,AP302,serviceknl@mgbrotherskia.in,15.7216137
https://hoshi-auto-kakuturu-v-kia.com,"Hoshi Auto, Kakuturu(V)",,79.932673,"Kakuturu(V),Venkatachalam(M) P S R Nellore (Dist),524320",S54,"48-A1,Kolkata to Chennai High way, ",999999999,8688829729,Nellore,Andhra Pradesh,1,Sales,AP,AP303,mgrsalnlr@hoshikia.com,14.370655
https://hoshi-auto-kakuturu-v-kia.com,"Hoshi Auto, Kakuturu(V)",Nellore,79.932913,"Kakatur Gramam, Venkataachalam Mandal, Nellore, AP",S54,,8688829738,8688829738,Nellore,Andhra Pradesh,3,Service,AP,AP303,mgrsernlr@hoshikia.com,14.370664
,"Sankar Kia, Ongole"," Prakasam, Andhra Pradesh-523001",80.051261,"Revenue Ward No 45, Ongole,",S64,"45-127-85, NH 16, Throvagunta,",8886624966,8886624966,Ongole,Andhra Pradesh,1,Sales,AP,AP307,Vgmsales@sankarraoautomotives.com,15.538083
,"Sankar Kia, Ongole","Prakasam, Andhra Pradesh-523001",80.051261,"Revenue Ward No 45, Ongole,",S64,"45-127-85, NH 16, Throvagunta,",8886624950,8886624950,Ongole,Andhra Pradesh,3,Service,AP,AP307,servicemanager@sankarraoautomotives.com,15.538083
https://kantipudi-kia-lalacheruvu.com,"Kantipudi Kia, Lalacheruvu",,81.80148401,"haskar Nagar, Lalacheruvu, Rajahmundry",S53,"Plot No:4, Block NO:4, Gandhipuram -4, B",999999999,9015112345,Rajahmundry,Andhra Pradesh,1,Sales,AP,AP401,info@kantipudikia.co.in,17.02453147
https://kantipudi-kia-lalacheruvu.com,Kantipudi Kia,Velugubanda Rajahmundry Rural,,"RS No-502/1,",S53,"Near Nannayya University ,NH-5",,9849595456,Rajahmundry,Andhra Pradesh,3,Service,AP,AP201,bsm@kantipudikia.co.in,
https://kantipudi-kia-lalacheruvu.com,"Kantipudi Kia, Lalacheruvu",Pin:533103,81.801198,"Rajahmundry,EGDist,AP,",S53,"Dno:85-10-8,Srinagar,",999999999,7799977533,Rajahmundry,Andhra Pradesh,3,Service,AP,AP401,wm@kiakantipudikia.in,16.998267
https://hoshi-auto-bangalore-byepass-kia.com,"Hoshi Auto, Bangalore byepass",,79.4760023,". Chennai, Bangalore Bypass, Chittur Tirupathi",S63,"Hitec Nissan, 714/ 2B, Tukivakam, 200 ft",999999999,8688829739,Tirupati,Andhra Pradesh,1,Sales,AP,AP304,mgrsaltpt@hoshikia.com,13.6149688
https://hoshi-auto-bangalore-byepass-kia.com,"Hoshi Auto, Bangalore byepass","Bangalore Bypass, Chittur Tirupathi",79.4760023,"Hitec Nissan, 714/ 2B, Tukivakam, 200 ft. Chennai,",S63,,999999999,8688829737,Tirupati,Andhra Pradesh,3,Service,AP,AP304,Mgrsertpt@hoshikia.com,13.6149688
,"CASA Kia, Nidamanuru, Vijayawada","Nidamanuru, NTR Dist, AP -521104",80.735492,"101/1J,101/1K, 101/1H, Opp Model Dairy, Done Atkur",S51,"Rs No 10.1/2B,101/2C,101/3B,",9246833314,8345959595,Vijayawada,Andhra Pradesh,1,Sales,AP,AP308,salesmanager@casacars.in.,16.510361
https://simha-kia-ramachandra-nagar.com,"Simha Kia, Ramachandra Nagar",Vijaywada,80.67337," University Ramachandra Nagar,",S51,"D. No. 48-10-12A, Opp NTR Health ,",999999999,7331122055,Vijayawada,Andhra Pradesh,1,Sales,AP,AP403,salesmanager.vja@simha-kia.in,16.51731
https://simha-kia-ramachandra-nagar.com,"Simha Kia, Ramachandra Nagar",,80.68012,"D.No. 48-16-30-7-1, Kamineni Nagar MahanadhuRoad, Vijaywada",S51,,999999999,9000634200,Vijayawada,Andhra Pradesh,3,Service,AP,AP403,Servicemanager.vja@simha-kia.in,16.50806
https://lakshmi-kia-birla-junction.com,"Lakshmi Kia, Birla junction",,83.25952,"#38-39-66, Birla Junction, N.H-5 Road, Visakhapatnam-530007",P33,,999999999,7997815777,Vishakhapatnam,Andhra Pradesh,1,Sales,AP,AP305,agmsales@lakshmikia.com,17.74239
https://lakshmi-kia-birla-junction.com,"Lakshmi Kia, Birla junction",,83.25952,"#38-39-66, Birla Junction, N.H-5 Road, Visakhapatnam-530007",P33,,999999999,8096666489,Vishakhapatnam,Andhra Pradesh,3,Service,AP,AP305,servicemanager@lakshmikia.com,17.74239
https://nigla-kia-nirjuli.com,"Nigla Kia, Nirjuli","Itanagar, Arunachal Pradesh",93.725417,"Naharlagun, District - Papumpare",E45,Nh-415 Lekhi,6033858060,6033858060,Itanagar,Arunachal Pradesh,1,Sales,AR,AR301,agm@niglakia.co.in,27.125011
https://nigla-kia-nirjuli.com,"Nigla Kia, Nirjuli","Itanagar, Arunachal Pradesh",93.725417,"Naharlagun, District - Papumpare",E45,Nh-415 Lekhi,6033858090,6033858090,Itanagar,Arunachal Pradesh,3,Service,AR,AR301,servicemanager@niglakia.co.in,27.125011
https://borah-kia-dibrugarh.com,"Borah Kia, Dibrugarh",New Tekela Gaon- 786008,94.883466,Kumarinichiga Tiniali,E41,Nh-37,3732370069,0373-2370069,Dibrugarh,Assam,1,Sales,AS,AS301,borahkia.sales@gmail.com,27.455805
https://borah-kia-dibrugarh.com,"Borah Kia, Dibrugarh",New Tekela Gaon- 786008,94.883466,Kumarinichiga Tiniali,E41,Nh-37,3732370069,8876449484,Dibrugarh,Assam,3,Service,AS,AS301,borahkiaservice@gmail.com,27.455805
https://meridian-motors-nalapara-kia.com,"Meridian Motors, Nalapara",Assam,91.76071,Guwahat,E40,"NH 37, Near Akash Hyundai",6292134455,6292134455,Guwahati,Assam,1,Sales,AS,AS401,crm.kia.meridian@gmail.com,26.11177
https://meridian-motors-nalapara-kia.com,Mridian Motors CPO,,91.79775,"Beltola Tiniali,",E40,Basistha Road,,6292134455,Guwahati,Assam,2,Pre-owned Cars,AS,AS401,crm.kia.meridian@gmail.com,26.12582
https://meridian-motors-nalapara-kia.com,"Meridian Motors, Nalapara","NH-37, Guwahati, Assam-781022",91.813982,"Near Health City Hospital,",E40,"Uday Nagar, Khanapara, ",999999999,6901255133,Guwahati,Assam,3,Service,AS,AS401,servicemanager@meridiankia.in,26.116362
